Price     , Close             , High              , Low               , Open              , Volume
Ticker    , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS
Date      ,                   ,                   ,                   ,                   , 
2025-03-24, 2273.15673828125  , 2382.0387557946724, 2228.2478872790507, 2309.319750873548 , 5717392
2025-03-31, 2245.837890625    , 2432.1558662869065, 2231.6872615505313, 2273.1566994493987, 4964969
2025-04-07, 2225.791259765625 , 2269.029588873655 , 2021.3918858003933, 2021.3918858003933, 4470585
2025-04-14, 2315.412353515625 , 2344.5000511638927, 2162.8990305144703, 2225.791142260461 , 7615699
2025-04-21, 2288.093505859375 , 2508.3142581423376, 2265.197038744943 , 2315.412314420644 , 10576433
2025-04-28, 2267.948486328125 , 2363.367711086602 , 2255.3702555145483, 2288.093616505786 , 2663258
2025-05-05, 2286.2265625      , 2382.235255181751 , 2213.9005370264076, 2284.752528610574 , 4371281
2025-05-12, 2752.11962890625  , 2776.0971508094403, 2344.794931911378 , 2348.6273240476326, 7365624
2025-05-19, 3026.19140625     , 3046.3365349488554, 2697.9732118393817, 2751.5297735021923, 10198441
2025-05-26, 2983.051513671875 , 3065.00769924411  , 2925.957173613125 , 3024.815805822524 , 5373787
2025-06-02, 3188.928466796875 , 3256.3350989828205, 2989.6823922472413, 3012.184263707263 , 6628906
2025-06-09, 2899.377197265625 , 3255.343783966966 , 2875.685845702853 , 3189.3248394125003, 3714634
2025-06-16, 2803.025390625    , 2926.2407949951735, 2733.933642478553 , 2894.420803367447 , 4126992
2025-06-23, 2885.796875       , 2988.6911665489097, 2757.5261137770954, 2775.5672525164005, 6012873
2025-06-30, 2751.776611328125 , 2956.9703283832123, 2710.5395163139196, 2901.458984638841 , 5628477
2025-07-07, 2655.52392578125  , 2793.4102413847218, 2584.945262619572 , 2743.8465394439   , 7303154
2025-07-14, 2654.6318359375   , 2771.007309536332 , 2607.3481134007097, 2701.2217150596293, 7102493
2025-07-21, 2696.364501953125 , 2846.9389256233208, 2653.7397199887087, 2657.010730577775 , 6730833
2025-07-28, 2547.3759765625   , 2721.047133162282 , 2539.6439909514634, 2686.352543121962 , 2871026
2025-08-04, 2530.326171875    , 2645.3139587230075, 2518.629089983237 , 2555.5044352945115, 3704623
2025-08-11, 2619.14404296875  , 2650.07174252324  , 2480.1674803609644, 2527.748631063333 , 2623402
2025-08-18, 2496.622802734375 , 2712.9187419579835, 2486.313407888869 , 2646.6023658986837, 5576120
2025-08-25, 2190.517333984375 , 2516.84468643928  , 2179.2166651762504, 2503.958124437031 , 6317764
2025-09-01, 2276.758056640625 , 2319.581042876293 , 2175.8463201339587, 2206.5758125823195, 4447497
2025-09-08, 2202.908203125    , 2354.2756907109783, 2188.9311432728905, 2300.449465464463 , 5124121
2025-09-15, 2246.82177734375  , 2262.087300358014 , 2193.2929805780477, 2215.4974216915693, 3662561
2025-09-22, 2117.757568359375 , 2247.416249322452 , 2101.5007723958806, 2240.2791252899483, 2991272
2025-09-29, 2182.091552734375 , 2199.3396239107296, 2082.6667199392227, 2119.343858748243 , 2951482
2025-10-06, 2283.201416015625 , 2299.160781953737 , 2153.7409368860212, 2191.7067788797003, 4503343
2025-10-13, 2474.715576171875 , 2536.6702020524044, 2235.7193145710407, 2269.3236488547946, 10497292
2025-10-20, 2492.558349609375 , 2511.2933304778244, 2458.8550352778107, 2486.9081364911317, 1615473
2025-10-27, 2470.651123046875 , 2565.417010501652 , 2387.9789715218235, 2492.062737403846 , 3325141
2025-11-03, 2593.569091796875 , 2602.094144655845 , 2424.656105839313 , 2470.651120773132 , 3832801
2025-11-10, 2721.344482421875 , 2744.143783766885 , 2577.3123259576537, 2599.1203533311414, 5466943
2025-11-17, 2724.1201171875   , 2841.9824964299733, 2717.081975135876 , 2734.9249067493183, 4226367
2025-11-24, 2680.206787109375 , 2745.8290798946978, 2637.7802099638234, 2728.9774212816255, 2550031
2025-12-01, 2618.6484375      , 2800.3490073336457, 2577.4115849344407, 2685.361225085609 , 5981233
2025-12-08, 2572.653564453125 , 2631.8325762399713, 2437.7410708029706, 2603.0856290795346, 2741253
2025-12-15, 2496.127197265625 , 2585.2426345274807, 2427.729290140473 , 2557.4869620708973, 2272331
2025-12-22, 2474.021728515625 , 2569.7786529059817, 2463.018490174035 , 2496.3253937943155, 1683547
2025-12-29, 2367.06298828125  , 2476.8961912657587, 2300.4494266838283, 2472.4354584532944, 5875990
2026-01-05, 2313.137939453125 , 2495.4331360132505, 2292.8168219220393, 2359.3314058644783, 4234309
2026-01-12, 2728.184326171875 , 2742.5577995500166, 2277.551299122633 , 2314.624850893874 , 9233648
2026-01-19, 2493.1533203125   , 2754.3540178571157, 2479.374466583122 , 2740.8725947281314, 4309641
2026-01-26, 2313.0            , 2638.0            , 2199.5            , 2515.10009765625  , 6005266
2026-02-02, 2642.0            , 2695.0            , 2256.10009765625  , 2313.0            , 7098330
2026-02-09, 2698.300048828125 , 2808.699951171875 , 2649.89990234375  , 2652.0            , 3725686
