Price     , Close             , High              , Low               , Open              , Volume
Ticker    , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS
Date      ,                   ,                   ,                   ,                   , 
2025-06-10, 3117.953125       , 3192.79431157284  , 3095.7486843308347, 3189.9197137933484, 728254
2025-06-11, 3087.32275390625  , 3146.6999674116673, 3036.272144875532 , 3131.3352210043636, 641631
2025-06-12, 2991.2685546875   , 3092.0810732813197, 2977.8863555287558, 3072.9494364523234, 747422
2025-06-13, 2899.377197265625 , 2958.457223888371 , 2875.685845702853 , 2919.896762471913 , 901104
2025-06-16, 2904.928466796875 , 2926.240857868751 , 2825.1309095277575, 2894.4208655573366, 781858
2025-06-17, 2848.525146484375 , 2917.1212608878195, 2835.5393599006175, 2906.4154529727707, 671174
2025-06-18, 2841.88330078125  , 2893.627996588326 , 2828.699550342611 , 2848.525030112295 , 552700
2025-06-19, 2757.327880859375 , 2884.111729834921 , 2751.0828061992174, 2843.9651324613806, 675724
2025-06-20, 2803.025390625    , 2818.0927067500256, 2733.933642478553 , 2757.327805258901 , 1445536
2025-06-23, 2909.38916015625  , 2918.211401861652 , 2757.5260333160727, 2775.567171528961 , 1182629
2025-06-24, 2931.49462890625  , 2981.9503783631517, 2912.362992432739 , 2959.9441441130557, 1088835
2025-06-25, 2836.332275390625 , 2988.6910370707565, 2816.705002267514 , 2941.506299018044 , 1446907
2025-06-26, 2877.66845703125  , 2889.5637451760567, 2806.990571568803 , 2854.869154753703 , 1113413
2025-06-27, 2885.796875       , 2956.970397948722 , 2862.898590372895 , 2892.041949720214 , 1181089
2025-06-30, 2897.295654296875 , 2956.970299844075 , 2890.852373388733 , 2901.4589566354703, 899633
2025-07-01, 2938.43359375     , 2943.9845829951328, 2867.85493269998  , 2899.674683187808 , 737669
2025-07-02, 2887.9775390625   , 2950.9234372836604, 2871.7207424677495, 2949.932163295926 , 676926
2025-07-03, 2924.853271484375 , 2931.098104311631 , 2895.907875984799 , 2900.4678333608317, 459666
2025-07-04, 2751.776611328125 , 2859.8254768305624, 2710.5395163139196, 2859.8254768305624, 2854583
2025-07-07, 2770.015869140625 , 2793.4100315030882, 2678.224045249119 , 2743.846333286213 , 1395129
2025-07-08, 2669.1044921875   , 2769.322149244312 , 2584.94518365666  , 2763.7711600026655, 3415921
2025-07-09, 2711.53076171875  , 2724.0209107336377, 2671.483389529532 , 2671.483389529532 , 1150871
2025-07-10, 2703.6005859375   , 2756.732968653073 , 2691.3088852546184, 2711.5307778645856, 589061
2025-07-11, 2655.52392578125  , 2732.9425250169193, 2641.745313445807 , 2692.300289425445 , 752172
2025-07-14, 2655.4248046875   , 2734.9249300401507, 2623.704037104577 , 2701.221614483295 , 1194613
2025-07-15, 2651.459716796875 , 2675.4484989523075, 2607.3480242428263, 2645.809503456047 , 892131
2025-07-16, 2693.09326171875  , 2707.9623717746063, 2637.5819175102197, 2651.657959961046 , 1250057
2025-07-17, 2716.18994140625  , 2771.0071991343148, 2685.5594300827297, 2721.0470871256166, 3027394
2025-07-18, 2654.6318359375   , 2715.0995513938806, 2646.701643746499 , 2715.0995513938806, 738298
2025-07-21, 2682.684814453125 , 2712.1256031909775, 2653.73966270416  , 2657.010673222617 , 551539
2025-07-22, 2780.919921875    , 2827.113386067153 , 2706.1779607164544, 2716.0907004992987, 3433443
2025-07-23, 2801.14208984375  , 2846.9388997878696, 2767.3395499746193, 2791.427556337967 , 1497960
2025-07-24, 2772.494140625    , 2825.1308865790475, 2761.6893508804305, 2825.1308865790475, 714875
2025-07-25, 2696.364501953125 , 2763.6719096928337, 2688.3350857557266, 2763.6719096928337, 533016
